ramSize,newfinal,WATT,LIRS,ARC,2Q,LRU-2,Hyperbolic,LeanEvict,Clock Sweep,lru,CLOCK,Random
100,88.5619,91.8908,90.9371,88.7477,89.1862,90.7150,95.2458,95.8449,95.6616,95.7219,95.8920,96.0533
200,83.4317,87.4461,86.9331,84.5894,85.0979,86.6258,91.5453,92.7033,92.1493,92.3720,92.7227,93.1291
300,79.6820,84.0831,83.8792,81.5228,82.0876,83.5548,88.5515,90.0255,89.2990,89.5942,90.0419,90.6649
400,76.6056,81.3482,81.3212,78.9914,79.5248,80.9702,85.9406,87.6786,86.7946,87.1508,87.6737,88.4834
500,73.9580,78.7674,79.0589,76.8290,77.3276,78.6940,83.5902,85.4945,84.5250,84.9261,85.5130,86.4773
600,71.6374,76.4428,76.9993,74.8862,75.3450,76.6195,81.4139,83.4925,82.4438,82.8961,83.5405,84.6150
700,69.5134,74.2987,75.1114,73.1218,73.5296,74.7346,79.3754,81.6697,80.4574,80.9671,81.6555,82.8390
800,67.6003,72.3540,73.3618,71.4876,71.8442,72.9591,77.4756,79.9174,78.6033,79.1540,79.8929,81.2098
900,65.7959,70.6358,71.7006,69.9648,70.2920,71.2738,75.6506,78.2107,76.8617,77.4466,78.2112,79.5895
1000,64.1185,68.8559,70.1469,68.5316,68.7986,69.7273,73.9353,76.6229,75.1600,75.7892,76.6023,78.0648
2000,51.1091,55.8402,57.2638,57.0473,56.8564,56.8466,59.5828,62.9435,60.9617,61.8748,62.8600,65.0487
3000,41.5664,45.8698,47.1878,48.4894,47.4846,46.7702,48.4236,51.9376,49.6583,50.7670,51.7553,54.3551
4000,33.8795,37.4436,38.5179,39.6989,39.3673,38.1436,39.0039,42.4107,40.0572,41.2603,42.2188,44.9077
5000,27.1381,30.0147,30.8206,32.7873,32.0357,30.4946,30.8187,33.8334,31.6146,32.8307,33.6432,36.4347
6000,21.0925,23.0662,23.8314,25.1499,25.1673,23.5337,23.5223,26.0851,24.0206,25.1734,25.8329,28.5121
7000,15.5124,16.9627,17.3555,18.2117,18.6786,17.1777,16.9906,18.9165,17.2286,18.2265,18.6922,20.9959
8000,10.4448,11.2358,11.3839,11.8412,12.6039,11.2676,11.0369,12.3212,11.0935,11.8471,12.1188,13.9974
9000,5.5146,5.9701,5.8787,6.0626,6.8482,5.8247,5.6910,6.2630,5.6774,6.0627,6.1994,7.2763
10000,1.0000,1.0000,1.0000,1.0000,1.7831,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
