ramSize,arc,lru_k2_z-1,lru,clock,clocksweep,amclock,amclock1,amclock2,amclock3,amclock4,amclock5,amclock6,WATT,hyperbolic10
100,10.2204,13.0663,10.1720,10.4802,13.1913,23.0410,19.5532,12.4531,14.9394,16.1119,10.5771,14.8781,12.3543,13.0017
200,7.7537,10.2740,7.7489,7.9019,9.6694,15.4365,13.1349,10.2864,11.8945,12.9158,8.1222,11.0892,8.9632,9.5522
300,6.8527,9.1943,6.8836,7.0170,8.2748,11.9937,10.4745,9.5068,10.5386,11.3333,7.2442,9.5735,7.7270,8.2335
400,6.3186,8.3627,6.3377,6.4600,7.5618,10.3658,9.2768,9.2847,9.6776,10.1792,6.6488,9.2094,6.8899,7.4821
500,5.8029,7.8247,5.8852,6.0124,7.0759,9.3401,8.4248,9.0785,9.1889,9.2207,6.2173,8.2713,6.2897,6.9780
600,5.5080,7.3766,5.5593,5.6753,6.7063,8.5399,7.8072,8.3385,8.4212,8.5241,5.8738,7.5092,5.8380,6.5994
700,5.2336,6.9822,5.2729,5.3768,6.3936,7.9064,7.3039,7.9950,7.9812,7.9812,5.5980,7.6082,5.4327,6.2923
800,4.9331,6.6584,4.9902,5.1390,6.1216,7.4738,6.9461,7.4641,7.4472,7.4378,5.3393,7.1588,5.1468,6.0182
900,4.7658,6.3728,4.8225,4.9204,5.8850,7.0217,6.5401,7.0122,7.0025,7.0390,5.1299,6.8307,4.8971,5.7841
1000,4.6476,6.1022,4.6693,4.7657,5.6568,6.5945,6.2208,6.6483,6.6440,6.5818,4.9054,6.4950,4.6733,5.5764
2000,3.5967,4.2415,3.5172,3.5799,4.0123,4.2436,4.1211,4.3225,4.2539,4.2351,3.5975,4.2054,3.3599,3.9709
3000,2.6834,3.0626,2.7233,2.7893,2.9435,3.0176,3.0031,3.0321,2.9742,2.9742,2.7799,2.9378,2.6600,2.9410
4000,2.0343,2.1948,2.0388,2.0207,2.0764,2.0539,2.0647,2.0539,2.0539,2.0539,2.0411,2.0456,2.1539,2.1691
5000,1.5013,1.5867,1.5538,1.4811,1.5348,1.5188,1.5302,1.5188,1.5188,1.5188,1.4422,1.5188,1.6836,1.5420
6000,1.1290,1.1322,1.1741,1.1248,1.0464,1.0340,1.0507,1.0340,1.0340,1.0340,1.0335,1.0340,1.2245,1.1022
7000,0.8485,0.8335,0.8596,0.8468,0.8378,0.8347,0.8340,0.8347,0.8347,0.8347,0.8347,0.8347,0.8656,0.8119
8000,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528,0.7528
