ramSize,arc,lru_k2_z-1,clock,clocksweep,mclock1111,mclock0101,mclock0201,mclock0211,mclock0301,mclock0401,mclock0501,mclock0601,mclock0701,mclock0801,mclock01001,mclock01401,mclock01601,mclock02001,mclock02401,amclock,WATT
100,29.0020,0.0000,28.9236,28.0095,27.6261,27.6261,28.4711,27.7204,29.2986,29.6958,29.9725,30.1816,30.3239,30.4190,30.5193,30.6293,30.6922,30.7224,30.7627,30.4274,29.1087
700,14.0163,0.0000,15.8592,14.7229,14.4663,14.4663,14.2256,14.2397,14.0677,14.0010,13.9508,13.9037,13.8661,13.8455,13.8063,13.8123,13.8515,13.9296,14.0517,13.8824,13.5253
800,13.1336,0.0000,14.8453,13.9508,13.6758,13.6758,13.4092,13.4162,13.2744,13.1705,13.1493,13.1258,13.1118,13.0987,13.0793,13.0817,13.0992,13.1560,13.2538,13.1102,12.8210
900,12.3948,0.0000,14.0212,13.2219,12.9666,12.9666,12.6710,12.7006,12.5857,12.5194,12.4802,12.4640,12.4692,12.4719,12.4605,12.4464,12.4529,12.4869,12.5441,12.4621,12.1577
1000,11.7080,0.0000,13.2621,12.5553,12.2791,12.2791,12.0197,12.1015,11.9980,11.9645,11.9209,11.8995,11.8703,11.8678,11.8772,11.8840,11.8969,11.9195,11.9475,11.9081,11.5407
2000,7.1304,0.0000,8.1864,8.0287,7.8587,7.8587,7.8324,7.9897,7.8478,7.8464,7.8537,7.8630,7.8923,7.9214,7.9460,7.9756,7.9872,8.0002,8.0236,7.9888,7.8366
3000,4.9778,0.0000,5.4180,5.5192,5.5612,5.5612,5.6401,5.8396,5.7011,5.7343,5.7650,5.7924,5.8088,5.8253,5.8496,5.8793,5.8996,5.9260,5.9336,5.7880,5.8099
4000,4.1053,0.0000,4.1437,4.3105,4.3282,4.3282,4.3498,4.3989,4.3600,4.3795,4.3968,4.4147,4.4225,4.4327,4.4474,4.4737,4.4761,4.4816,4.4883,4.4437,4.4892
5000,3.4588,0.0000,3.4828,3.5863,3.5406,3.5406,3.5501,3.5587,3.5728,3.6010,3.6146,3.6217,3.6328,3.6426,3.6570,3.6685,3.6729,3.6784,3.6827,3.6326,3.6474
6000,2.9687,0.0000,3.0203,3.0578,3.0280,3.0280,3.0363,3.0252,3.0490,3.0614,3.0800,3.0905,3.1021,3.1053,3.1143,3.1209,3.1275,3.1348,3.1399,3.0843,3.0714
7000,2.5735,0.0000,2.6834,2.6643,2.6346,2.6346,2.6309,2.6230,2.6405,2.6531,2.6638,2.6721,2.6763,2.6814,2.6904,2.6963,2.6987,2.7000,2.7029,2.6509,2.6438
8000,2.2753,0.0000,2.4091,2.3595,2.3357,2.3357,2.3252,2.3167,2.3303,2.3370,2.3440,2.3476,2.3526,2.3568,2.3638,2.3733,2.3750,2.3776,2.3776,2.3364,2.3488
9000,2.0666,0.0000,2.2002,2.1386,2.1147,2.1147,2.1104,2.1073,2.1102,2.1153,2.1198,2.1238,2.1252,2.1272,2.1325,2.1347,2.1349,2.1358,2.1367,2.1074,2.1264
10000,1.9097,0.0000,2.0385,1.9682,1.9520,1.9520,1.9469,1.9485,1.9494,1.9488,1.9538,1.9551,1.9581,1.9589,1.9593,1.9617,1.9618,1.9619,1.9621,1.9448,1.9585
11000,1.8082,0.0000,1.9137,1.8423,1.8345,1.8345,1.8290,1.8315,1.8290,1.8314,1.8330,1.8351,1.8359,1.8364,1.8370,1.8385,1.8387,1.8384,1.8384,1.8275,1.8485
12000,1.7316,0.0000,1.8130,1.7481,1.7439,1.7439,1.7441,1.7460,1.7422,1.7431,1.7435,1.7440,1.7456,1.7461,1.7460,1.7462,1.7461,1.7462,1.7462,1.7441,1.7626
13000,1.6833,0.0000,1.7490,1.6858,1.6850,1.6850,1.6863,1.6850,1.6862,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,1.6866,1.6863,1.6992
14000,1.6449,0.0000,1.6934,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6449,1.6524
15000,1.6218,0.0000,1.6473,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6218,1.6228
16000,1.6129,0.0000,1.6147,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129
17000,1.6128,0.0000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128
