ramSize,amclock,amclock1,amclock2,amclock3,amclock4,amclock5,amclock6,amclock7,amclock8,amclock9,amclock10,amclock11,amclock_Final,arc,lru_k2_z-1,lru,clock,clocksweep,WATT,hyperbolic20
100,79.4052,79.9375,81.1128,80.6522,80.2072,81.8012,79.3821,80.7625,79.4351,79.2847,79.2847,81.1595,78.8921,77.6124,80.3114,83.8422,84.5394,83.5195,77.7082,82.7255
1000,62.7983,63.8152,62.7480,62.3650,62.9021,65.0794,62.7983,64.1029,62.7983,62.1129,62.1465,64.5284,62.1673,58.7253,61.8516,67.9223,68.7820,67.7054,59.4269,66.8463
2000,54.6049,56.3982,53.9083,54.2567,54.2426,56.6593,54.6174,55.0837,54.3190,55.0814,55.0814,55.8103,53.9637,49.1417,51.1689,60.8128,61.8174,60.6807,50.8707,59.6945
3000,48.5573,49.8310,47.8253,48.0594,47.7921,49.8757,48.7065,49.2178,48.6097,47.9749,48.1421,48.5821,47.9475,43.9483,45.3272,55.4038,56.6643,55.2692,45.6010,53.8757
4000,44.0082,45.7602,43.1780,43.2844,43.0812,45.5062,43.3573,43.9483,44.1153,43.7167,44.7621,42.7266,43.4160,42.7480,42.1902,50.3581,51.7443,50.5693,42.0252,48.9149
5000,39.9770,40.9364,39.6013,39.7475,39.3698,40.2343,39.5876,39.6729,39.4293,39.8040,39.7191,39.3005,40.0246,41.4029,39.4702,45.8772,47.7033,45.5140,39.3351,43.8347
6000,37.2914,36.7921,37.4219,37.0489,36.9003,37.7328,37.2541,37.3747,37.3294,37.0826,36.6083,37.1774,37.0061,38.8438,36.4382,41.2603,42.9259,41.3244,36.7482,39.6448
7000,34.1033,33.9359,34.8055,34.8042,34.5383,34.1552,34.3329,34.6457,34.4280,34.1215,34.0354,34.6430,34.0609,35.6654,33.3761,35.6433,37.8304,36.0592,34.0979,35.0094
8000,31.4425,32.0831,32.8565,31.9795,31.9939,31.7051,31.8791,31.6417,31.6443,31.6932,31.1302,31.7447,31.3492,33.3773,31.5173,32.3811,34.2995,32.3233,31.1317,31.3424
9000,29.0812,28.4894,29.3890,29.2830,29.2560,29.4130,29.2537,29.3451,29.2441,29.5200,28.7841,29.3044,28.5935,30.7395,29.1081,29.4086,30.6849,29.3602,28.3186,28.7455
10000,26.4231,26.2711,26.8977,27.0249,27.0217,26.8758,26.8574,27.3456,26.8745,26.9578,26.7320,26.9089,26.3727,27.0887,26.2644,27.1240,28.1404,26.7987,25.6609,26.2541
11000,23.6384,23.5782,24.4971,24.3226,24.9837,25.0608,24.1803,23.9463,24.9537,24.9526,24.2886,24.8426,23.2541,25.0909,23.9166,24.9868,25.3759,24.0167,23.3495,23.7838
12000,21.0474,21.3538,22.2809,22.0829,22.1232,22.4152,21.9406,21.9428,22.6477,22.1115,22.0260,22.7729,20.6211,22.8009,22.2874,23.0617,23.1193,21.7020,20.6828,21.4604
13000,18.5418,19.0251,19.6349,19.5768,19.2515,19.9722,19.7098,19.7375,20.4027,19.8560,19.5950,19.9665,18.3190,21.3287,19.6777,21.5294,21.2467,19.6584,18.6180,19.2652
14000,16.7110,16.8806,17.3831,16.9377,16.0220,17.4133,16.9617,16.9838,17.6920,17.1926,16.1865,17.6302,15.9742,18.9488,17.3592,19.0845,18.6252,17.2384,16.0759,16.9901
15000,14.0378,14.3572,13.9805,14.2573,14.5173,15.4997,14.2573,15.4238,14.8773,14.9228,14.1056,15.4824,13.4673,16.3150,14.5800,16.5104,17.1928,15.2234,13.7928,14.5659
16000,11.6471,12.0589,12.3745,11.6924,12.2170,12.5396,12.2218,12.2905,11.9706,11.9706,11.5789,12.3140,11.2263,14.7560,12.8125,14.8236,13.2856,12.5532,11.4540,12.1290
17000,9.4408,9.2186,9.4228,9.4933,9.4397,10.0809,9.4153,9.8897,9.8158,10.0367,9.4252,10.2142,8.6503,11.2886,9.9490,11.2935,11.4427,10.1289,8.6111,9.5625
18000,6.6264,6.8510,6.6264,6.6264,6.6867,7.3603,6.8802,7.2402,6.8655,7.1300,6.8213,7.3214,6.3124,8.7685,7.6273,8.8478,8.8827,7.5781,6.4101,6.8686
19000,4.0898,4.5728,4.0898,4.0898,4.1918,4.6898,4.0898,4.3407,4.0898,4.0898,4.0898,4.8396,4.0116,6.4525,4.8258,6.4096,5.1002,4.6724,3.7120,4.0077
20000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
