ramSize,amclock_DW_HR_1,amclock_DW_HR_2,amclock_DW_HR_3,amclock_DW_HR_4,amclock_DW_HR_5,amclock_DW_HR_6,amclock_DW_HR_7,amclock_DW_HR_8,amclock_DW_HR_9,amclock_DW_HR_10,amclock_Final,amclock_WA
100,47.8579,47.0033,46.1516,45.6923,45.7149,45.6811,45.7837,45.7832,45.5814,45.7064,48.4537,49.0420
700,27.1303,26.8743,26.8583,27.5689,27.1951,27.4636,27.7910,27.7910,27.7910,28.1331,29.6272,30.6523
800,25.9836,25.6969,25.9377,25.9627,26.1686,26.7024,26.7024,26.9869,26.9869,26.9869,28.4484,29.4976
900,24.8664,24.7141,24.8909,25.1167,25.3529,25.8558,25.8558,25.8558,25.8558,25.8558,27.4459,28.4963
1000,23.9873,23.7775,24.1263,24.2796,24.6980,24.6980,24.9592,24.9592,24.9592,24.9592,26.5711,27.5803
2000,17.9183,18.2274,18.3127,18.3127,18.3127,18.4963,18.4963,18.4963,18.4963,18.4963,20.0556,20.5298
3000,14.4965,14.5240,14.5240,14.5240,14.5240,14.5240,14.5240,14.5240,14.5240,14.5240,15.7465,16.0819
4000,11.6420,11.8314,11.8314,11.8314,11.9895,11.9895,11.9895,11.9895,11.9895,11.9895,12.8062,13.0739
5000,9.5657,9.5657,9.5657,9.5657,9.5657,9.6532,9.6532,9.6532,9.6532,9.6532,10.5501,10.7615
6000,7.7541,7.9042,7.9042,7.9042,7.9042,7.9042,7.9042,7.9042,7.9042,7.9042,8.7112,8.8909
7000,6.3826,6.3826,6.3826,6.3826,6.3826,6.4430,6.4430,6.4430,6.4430,6.4430,7.0765,7.3168
8000,5.2427,5.2427,5.2427,5.2427,5.2427,5.2427,5.2427,5.2427,5.2427,5.2427,5.7458,5.9145
9000,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.5379,4.6621
10000,3.4217,3.4217,3.4217,3.4217,3.4217,3.4217,3.5028,3.5028,3.5028,3.5028,3.5028,3.6042
11000,2.6426,2.6426,2.6426,2.6426,2.6426,2.6426,2.6426,2.6426,2.6426,2.6426,2.6426,2.7293
12000,2.0592,2.0592,2.0592,2.0592,2.0592,2.0592,2.0592,2.0592,2.0592,2.0592,2.0592,2.1167
13000,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7804
14000,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6852
15000,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446
16000,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264
17000,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262
