ramSize,amclock_DW_upLimit_1,amclock_DW_upLimit_2,amclock_DW_upLimit_4,amclock_DW_upLimit_6,amclock_DW_upLimit_8,amclock_DW_upLimit_12,amclock_DW_upLimit_16,amclock_DW_upLimit_20,amclock_DW_upLimit_24,amclock_DW_upLimit_28,amclock_DW_upLimit_32
100,48.9953,48.2964,47.5608,47.2478,46.8369,46.5933,46.6548,46.3112,45.9232,45.8237,45.4205
700,30.5281,29.9080,28.9880,28.7371,28.1854,27.8460,27.1476,27.5950,27.5970,27.5970,27.5970
800,29.3730,28.5118,27.8117,27.1491,27.3092,26.6883,26.2802,26.2800,26.2800,26.2800,26.2800
900,28.1209,27.7461,26.9793,26.6296,26.4664,26.0181,25.7082,25.6873,25.6850,25.6850,25.6850
1000,27.4133,26.7872,26.0806,25.6651,25.2707,25.8899,25.0660,25.3495,25.3495,25.3495,25.3495
2000,19.7012,19.5336,19.0504,19.2236,18.8231,18.7349,18.7112,18.7353,18.7353,18.7353,18.7353
3000,15.2517,14.8967,14.4650,14.3868,14.5380,14.5036,14.7993,14.7993,14.7993,14.7993,14.7993
4000,12.2146,12.2926,12.2377,12.1886,12.1886,12.1886,12.1886,12.1886,12.1886,12.1886,12.1886
5000,9.8215,9.8305,9.7866,9.5742,9.6131,9.4937,9.4937,9.4937,9.4937,9.4937,9.4937
6000,8.0039,7.7158,7.9548,7.9222,7.8590,7.8557,7.8560,7.8560,7.8560,7.8560,7.8560
7000,6.6932,6.5140,6.4349,6.4143,6.4366,6.3837,6.3826,6.3826,6.3826,6.3826,6.3826
8000,5.3550,5.2443,5.2204,5.2398,5.2424,5.2430,5.2430,5.2430,5.2430,5.2430,5.2430
9000,4.4827,4.3825,4.3404,4.3603,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500,4.3500
10000,3.4657,3.4564,3.5007,3.4217,3.4217,3.4217,3.4217,3.4217,3.4217,3.4217,3.4217
11000,2.5819,2.6245,2.6426,2.6426,2.6426,2.6426,2.6426,2.6426,2.6426,2.6426,2.6426
12000,2.0342,2.0491,2.0592,2.0592,2.0592,2.0592,2.0592,2.0592,2.0592,2.0592,2.0592
13000,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768,1.7768
14000,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769,1.6769
15000,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446,1.6446
16000,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264,1.6264
17000,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262,1.6262
