ramSize,amclock_Final,amclock_WA,amclock_DW,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20,lean30_2,lrfu0.8,random
100,30.6545,31.7310,29.8389,29.0020,29.1087,35.1005,28.5763,28.9236,28.0095,27.7583,29.4006,0.0000,32.4344
700,13.8404,14.5623,13.4950,14.0163,13.5253,16.4232,15.3293,15.8592,14.7229,14.5850,15.9585,0.0000,17.8221
800,13.0753,13.7036,12.5821,13.1336,12.8210,15.3975,14.3881,14.8453,13.9508,13.8216,14.9610,0.0000,16.7638
900,12.4181,12.9831,12.2928,12.3948,12.1577,14.5371,13.5379,14.0212,13.2219,13.0853,14.0687,0.0000,15.8915
1000,11.8581,12.4020,11.5508,11.7080,11.5407,13.7294,12.8009,13.2621,12.5553,12.4144,13.2874,0.0000,15.0511
2000,7.8417,8.1360,7.7915,7.1304,7.8366,8.4845,7.9198,8.1864,8.0287,7.9169,8.3633,0.0000,9.9269
3000,5.6398,5.8229,5.6351,4.9778,5.8099,6.2068,5.2200,5.4180,5.5192,5.5424,5.8105,0.0000,7.2591
4000,4.3623,4.4289,4.3625,4.1053,4.4892,5.0057,4.0145,4.1437,4.3105,4.3674,4.3998,0.0000,5.7433
5000,3.6069,3.6269,3.6069,3.4588,3.6474,4.1414,3.3561,3.4828,3.5863,3.6305,3.5897,0.0000,4.7056
6000,3.0611,3.0785,3.0611,2.9687,3.0714,3.4760,2.9063,3.0203,3.0578,3.0887,3.0800,0.0000,3.9646
7000,2.6363,2.6506,2.6363,2.5735,2.6438,2.9876,2.5644,2.6834,2.6643,2.6941,2.7015,0.0000,3.4591
8000,2.3306,2.3379,2.3306,2.2753,2.3488,2.6004,2.2909,2.4091,2.3595,2.3914,2.4094,0.0000,3.0277
9000,2.1067,2.1146,2.1067,2.0666,2.1264,2.3005,2.0970,2.2002,2.1386,2.1618,2.1996,0.0000,2.6858
10000,1.9463,1.9520,1.9463,1.9097,1.9585,2.0689,1.9466,2.0385,1.9682,1.9831,2.0259,0.0000,2.4143
11000,1.8290,1.8312,1.8290,1.8082,1.8485,1.9052,1.8277,1.9137,1.8423,1.8534,1.8885,0.0000,2.1770
12000,1.7441,1.7427,1.7441,1.7316,1.7626,1.7828,1.7400,1.8130,1.7481,1.7588,1.7852,0.0000,1.9976
13000,1.6863,1.6856,1.6863,1.6833,1.6992,1.6933,1.6807,1.7490,1.6858,1.6948,1.7060,0.0000,1.8536
14000,1.6449,1.6449,1.6449,1.6449,1.6524,1.6449,1.6420,1.6934,1.6449,1.6480,1.6551,0.0000,1.7340
15000,1.6218,1.6218,1.6218,1.6218,1.6228,1.6218,1.6208,1.6473,1.6218,1.6230,1.6234,0.0000,1.6528
16000,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129,1.6147,1.6129,1.6129,1.6131,0.0000,1.6137
17000,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,1.6128,0.0000,1.6128
