ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,29.9441,29.2304,31.0999,0.0000,0.0000,0.0000,28.5763,28.9236,28.0095,0.0000,0.0000,0.0000
700,13.8988,13.5465,14.3584,0.0000,0.0000,0.0000,15.3293,15.8592,14.7229,0.0000,0.0000,0.0000
800,13.0243,12.6044,13.6679,0.0000,0.0000,0.0000,14.3881,14.8453,13.9508,0.0000,0.0000,0.0000
900,12.3885,11.9317,13.0095,0.0000,0.0000,0.0000,13.5379,14.0212,13.2219,0.0000,0.0000,0.0000
1000,11.8544,11.4085,12.4602,0.0000,0.0000,0.0000,12.8009,13.2621,12.5553,0.0000,0.0000,0.0000
2000,7.8751,7.8599,8.1884,0.0000,0.0000,0.0000,7.9198,8.1864,8.0287,0.0000,0.0000,0.0000
3000,5.6855,5.6855,5.9013,0.0000,0.0000,0.0000,5.2200,5.4180,5.5192,0.0000,0.0000,0.0000
4000,4.3508,4.3506,4.4169,0.0000,0.0000,0.0000,4.0145,4.1437,4.3105,0.0000,0.0000,0.0000
5000,3.5758,3.5758,3.5913,0.0000,0.0000,0.0000,3.3561,3.4828,3.5863,0.0000,0.0000,0.0000
6000,3.0398,3.0398,3.0509,0.0000,0.0000,0.0000,2.9063,3.0203,3.0578,0.0000,0.0000,0.0000
7000,2.6277,2.6280,2.6389,0.0000,0.0000,0.0000,2.5644,2.6834,2.6643,0.0000,0.0000,0.0000
8000,2.3306,2.3306,2.3372,0.0000,0.0000,0.0000,2.2909,2.4091,2.3595,0.0000,0.0000,0.0000
9000,2.1067,2.1067,2.1146,0.0000,0.0000,0.0000,2.0970,2.2002,2.1386,0.0000,0.0000,0.0000
10000,1.9463,1.9463,1.9520,0.0000,0.0000,0.0000,1.9466,2.0385,1.9682,0.0000,0.0000,0.0000
11000,1.8290,1.8290,1.8312,0.0000,0.0000,0.0000,1.8277,1.9137,1.8423,0.0000,0.0000,0.0000
12000,1.7441,1.7441,1.7427,0.0000,0.0000,0.0000,1.7400,1.8130,1.7481,0.0000,0.0000,0.0000
13000,1.6863,1.6863,1.6856,0.0000,0.0000,0.0000,1.6807,1.7490,1.6858,0.0000,0.0000,0.0000
14000,1.6449,1.6449,1.6449,0.0000,0.0000,0.0000,1.6420,1.6934,1.6449,0.0000,0.0000,0.0000
15000,1.6218,1.6218,1.6218,0.0000,0.0000,0.0000,1.6208,1.6473,1.6218,0.0000,0.0000,0.0000
16000,1.6129,1.6129,1.6129,0.0000,0.0000,0.0000,1.6129,1.6147,1.6129,0.0000,0.0000,0.0000
17000,1.6128,1.6128,1.6128,0.0000,0.0000,0.0000,1.6128,1.6128,1.6128,0.0000,0.0000,0.0000
