ramSize,EACLOCK,newalgo 1,newalgo 2,newalgo 4,newalgo 8,newalgo 10,newalgo 12,newalgo 16,newalgo 20,newalgo 24,S3-FIFO,WATT,Random
100,78.7251,82.3730,80.8411,79.3871,78.7010,78.2004,77.8854,77.4492,77.2316,77.1064,74.5418,77.7082,85.7694
1000,62.2531,66.3757,64.9291,63.4818,62.6537,62.3931,62.2512,62.1731,62.1889,62.2531,55.7291,59.4269,70.6188
2000,54.1979,58.9998,57.0204,54.4506,53.6093,53.9455,53.9245,53.9986,54.0849,54.1979,46.9105,50.8707,63.2830
3000,48.2989,52.9251,50.4357,48.7336,47.9233,47.7886,47.7599,48.0011,48.1358,48.2989,42.5761,45.6010,57.3675
4000,44.0252,47.9983,44.5728,42.1673,42.4016,42.4276,42.3753,42.8925,43.4954,43.2347,39.7493,42.0252,52.1704
5000,40.6046,42.9146,39.6165,39.1105,39.2544,39.1382,39.2496,39.2279,39.5697,39.4318,37.8856,39.3351,47.5341
6000,37.4571,38.4867,37.4153,36.8687,36.5581,36.6945,36.6013,36.7287,36.8794,36.8909,35.5363,36.7482,43.3987
7000,34.5042,34.5038,34.2118,34.2916,33.8349,34.0999,34.0519,34.2163,34.2403,34.3227,33.0921,34.0979,39.6626
8000,31.5888,31.5618,31.9859,32.4033,31.9440,31.9782,31.8417,31.9002,31.8098,31.8358,30.7685,31.1317,36.1589
9000,29.0422,29.5033,29.3032,29.4612,29.0388,29.5582,29.3082,29.6192,29.2737,29.1323,28.5633,28.3186,32.8140
10000,26.3054,26.8710,26.7858,27.4597,27.1398,26.8979,26.3561,26.7553,26.9073,26.4843,26.3222,25.6609,29.7261
11000,23.7867,24.5439,24.7934,24.3425,24.4058,24.4727,24.7208,23.8102,24.1201,23.9420,24.4459,23.3495,26.6595
12000,21.1060,22.5112,22.2188,22.2297,21.7178,21.9724,21.6996,21.6645,21.4127,20.7125,22.3645,20.6828,23.7069
13000,18.5079,20.1302,19.9090,19.7248,19.7221,20.5200,19.5566,19.9552,19.3385,18.7909,19.8514,18.6180,20.7410
14000,16.0791,17.5367,17.3928,17.4233,17.8710,17.3533,16.8202,16.8521,17.4788,16.3093,17.6140,16.0759,17.8863
15000,13.7066,15.5542,15.2970,14.6438,13.9969,14.1439,14.0946,14.4761,14.0429,13.2177,15.7322,13.7928,14.9746
16000,11.2023,12.4534,12.2164,12.2744,12.1871,12.1280,12.1677,12.2017,11.8826,11.3300,13.1354,11.4540,12.1389
17000,8.5981,10.1410,9.9611,9.9688,9.6657,9.6224,9.5873,8.8366,9.5664,9.5013,10.7189,8.6111,9.2791
18000,6.2740,7.2979,6.9794,6.5419,6.6998,6.5232,6.7207,6.3044,6.2934,6.2740,8.1897,6.4101,6.5132
19000,3.5928,4.5413,4.7331,4.2505,3.9354,3.8533,3.7643,3.7388,3.7340,3.7153,5.3282,3.7120,3.7275
20000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.8061,1.0000,1.0000
