ramSize,EACLOCK,EACLOCK-FDW,newalgo 24,ARC,WATT,2Q,S3-FIFO,LIRS,Hyperbolic,LeanEvict,LRU-2,Clock Sweep,lru,CLOCK,Random
100,78.7251,77.1877,77.1064,77.6124,77.7082,74.3847,74.5418,77.3796,82.7255,84.5579,80.3114,83.5195,83.8422,84.5394,85.7694
1000,62.2531,62.2558,62.2531,58.7253,59.4269,55.9865,55.7291,60.1810,66.8463,68.6776,61.8516,67.7054,67.9223,68.7820,70.6188
2000,54.1979,54.1880,54.1979,49.1417,50.8707,47.7260,46.9105,49.6210,59.6945,61.3767,51.1689,60.6807,60.8128,61.8174,63.2830
3000,48.2989,48.3000,48.2989,43.9483,45.6010,43.3787,42.5761,43.7522,53.8757,55.5894,45.3272,55.2692,55.4038,56.6643,57.3675
4000,44.0252,43.7379,43.2347,42.7480,42.0252,41.1044,39.7493,40.5352,48.9149,50.3252,42.1902,50.5693,50.3581,51.7443,52.1704
5000,40.6046,39.9674,39.4318,41.4029,39.3351,38.2201,37.8856,37.6397,43.8347,45.4310,39.4702,45.5140,45.8772,47.7033,47.5341
6000,37.4571,36.8939,36.8909,38.8438,36.7482,35.5756,35.5363,34.9288,39.6448,40.9924,36.4382,41.3244,41.2603,42.9259,43.3987
7000,34.5042,34.1350,34.3227,35.6654,34.0979,32.8460,33.0921,32.7372,35.0094,36.8920,33.3761,36.0592,35.6433,37.8304,39.6626
8000,31.5888,31.5998,31.8358,33.3773,31.1317,29.7502,30.7685,30.8605,31.3424,33.2948,31.5173,32.3233,32.3811,34.2995,36.1589
9000,29.0422,29.0075,29.1323,30.7395,28.3186,27.3357,28.5633,28.7172,28.7455,30.1069,29.1081,29.3602,29.4086,30.6849,32.8140
10000,26.3054,26.1876,26.4843,27.0887,25.6609,25.3587,26.3222,25.9560,26.2541,27.2269,26.2644,26.7987,27.1240,28.1404,29.7261
11000,23.7867,24.1576,23.9420,25.0909,23.3495,23.3892,24.4459,23.5732,23.7838,24.5358,23.9166,24.0167,24.9868,25.3759,26.6595
12000,21.1060,21.1321,20.7125,22.8009,20.6828,21.6211,22.3645,21.4558,21.4604,21.9646,22.2874,21.7020,23.0617,23.1193,23.7069
13000,18.5079,18.6336,18.7909,21.3287,18.6180,19.3411,19.8514,18.8322,19.2652,19.4441,19.6777,19.6584,21.5294,21.2467,20.7410
14000,16.0791,17.0241,16.3093,18.9488,16.0759,17.6059,17.6140,16.3246,16.9901,17.0098,17.3592,17.2384,19.0845,18.6252,17.8863
15000,13.7066,14.1915,13.2177,16.3150,13.7928,15.1474,15.7322,14.0351,14.5659,14.5557,14.5800,15.2234,16.5104,17.1928,14.9746
16000,11.2023,11.2592,11.3300,14.7560,11.4540,13.0772,13.1354,11.7232,12.1290,12.1052,12.8125,12.5532,14.8236,13.2856,12.1389
17000,8.5981,9.3081,9.5013,11.2886,8.6111,11.0128,10.7189,9.6411,9.5625,9.5424,9.9490,10.1289,11.2935,11.4427,9.2791
18000,6.2740,6.2772,6.2740,8.7685,6.4101,8.5245,8.1897,7.7786,6.8686,6.9157,7.6273,7.5781,8.8478,8.8827,6.5132
19000,3.5928,3.5951,3.7153,6.4525,3.7120,5.6185,5.3282,5.0011,4.0077,4.0106,4.8258,4.6724,6.4096,5.1002,3.7275
20000,1.0000,1.0000,1.0000,1.0000,1.0000,1.8601,1.8061,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
